"Characters","Vehicle","Tires","Glider","ID","Speed","Speed_Water","Speed_Air","Speed_Ground","Acceleration","Weight","Handling","Handling_Water","Handling_Air","Handling_Ground","Traction","Mini_Turbo"
"Light-B","B Dasher","Group-A","Speed","Light-B-B Dasher-Group-A-Speed",3.75,2.75,4.0,3.75,2.0,3.25,3.75,3.75,3.75,3.75,3.0,2.5
"Medium-A","B Dasher","Group-A","Acceleration","Medium-A-B Dasher-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.0,3.5,3.25,3.25,3.5,3.25,2.75,2.5
"Medium-A","B Dasher","Group-A","Speed","Medium-A-B Dasher-Group-A-Speed",4.25,3.25,4.5,4.25,1.75,3.75,3.25,3.25,3.25,3.25,2.75,2.25
"Medium-B","B Dasher","Group-A","Acceleration","Medium-B-B Dasher-Group-A-Acceleration",4.75,3.77,4.78,4.78,1.75,4.0,2.75,2.75,3.0,2.75,2.5,2.5
"Medium-B","B Dasher","Group-A","Speed","Medium-B-B Dasher-Group-A-Speed",4.75,3.77,5.03,4.78,1.5,4.25,2.75,2.75,2.75,2.75,2.5,2.25
"Heavy-A","B Dasher","Group-A","Acceleration","Heavy-A-B Dasher-Group-A-Acceleration",5.25,4.25,5.25,5.25,1.5,4.5,3.75,2.25,2.5,2.25,2.25,2.25
"Heavy-A","B Dasher","Group-A","Speed","Heavy-A-B Dasher-Group-A-Speed",5.25,4.25,5.5,5.25,1.25,4.75,3.75,2.25,2.25,2.25,2.25,2.0
"Heavy-B","B Dasher","Group-A","Acceleration","Heavy-B-B Dasher-Group-A-Acceleration",5.25,4.25,5.25,5.25,1.25,5.0,4.25,2.25,2.5,2.25,2.0,1.75
"Heavy-B","B Dasher","Group-A","Speed","Heavy-B-B Dasher-Group-A-Speed",5.25,4.25,5.5,5.25,1.0,5.25,4.25,2.25,2.25,2.25,2.0,1.5
"Heavy-C","B Dasher","Group-A","Acceleration","Heavy-C-B Dasher-Group-A-Acceleration",5.75,4.75,5.75,5.75,1.25,5.0,4.25,1.75,2.0,1.75,2.0,1.75
"Heavy-C","B Dasher","Group-A","Speed","Heavy-C-B Dasher-Group-A-Speed",5.75,4.75,6.0,5.75,1.0,5.25,4.25,1.75,1.75,1.75,2.0,1.5
"Light-A","B Dasher","Group-G","Acceleration","Light-A-B Dasher-Group-G-Acceleration",2.75,2.75,2.75,2.25,2.75,1.75,3.5,3.5,3.75,3.5,5.0,2.75
"Light-A","B Dasher","Group-G","Speed","Light-A-B Dasher-Group-G-Speed",2.75,2.75,3.0,2.25,2.5,2.0,3.5,3.5,3.5,3.5,5.0,2.5
"Light-B","B Dasher","Group-G","Acceleration","Light-B-B Dasher-Group-G-Acceleration",3.25,3.25,3.25,2.75,2.5,2.25,3.0,3.0,3.25,3.0,4.75,2.5
"Light-B","B Dasher","Group-G","Speed","Light-B-B Dasher-Group-G-Speed",3.25,3.25,3.5,2.75,2.25,2.5,3.0,3.0,3.0,3.0,4.75,2.25
"Medium-A","B Dasher","Group-G","Acceleration","Medium-A-B Dasher-Group-G-Acceleration",3.75,3.75,3.75,3.25,2.25,2.75,2.5,2.5,2.75,2.5,4.5,2.25
"Medium-A","B Dasher","Group-G","Speed","Medium-A-B Dasher-Group-G-Speed",3.75,3.75,4.0,3.25,2.0,3.0,2.5,2.5,2.5,2.5,4.5,2.0
"Medium-B","B Dasher","Group-G","Acceleration","Medium-B-B Dasher-Group-G-Acceleration",4.25,4.27,4.28,3.78,2.0,3.25,2.0,2.0,2.25,2.0,4.25,2.25
"Medium-B","B Dasher","Group-G","Speed","Medium-B-B Dasher-Group-G-Speed",4.25,4.27,4.53,3.78,1.75,3.5,2.0,2.0,2.0,2.0,4.25,2.0
"Heavy-A","B Dasher","Group-G","Acceleration","Heavy-A-B Dasher-Group-G-Acceleration",4.75,4.75,4.75,4.25,1.75,3.75,3.0,1.5,1.75,1.5,4.0,2.0
"Heavy-A","B Dasher","Group-G","Speed","Heavy-A-B Dasher-Group-G-Speed",4.75,4.75,5.0,4.25,1.5,4.0,3.0,1.5,1.5,1.5,4.0,1.75
"Heavy-B","B Dasher","Group-G","Acceleration","Heavy-B-B Dasher-Group-G-Acceleration",4.75,4.75,4.75,4.25,1.5,4.25,3.5,1.5,1.75,1.5,3.75,1.5
"Heavy-B","B Dasher","Group-G","Speed","Heavy-B-B Dasher-Group-G-Speed",4.75,4.75,5.0,4.25,1.25,4.5,3.5,1.5,1.5,1.5,3.75,1.25
"Heavy-C","B Dasher","Group-G","Acceleration","Heavy-C-B Dasher-Group-G-Acceleration",5.25,5.25,5.25,4.75,1.5,4.25,3.5,1.0,1.25,1.0,3.75,1.5
"Heavy-C","B Dasher","Group-G","Speed","Heavy-C-B Dasher-Group-G-Speed",5.25,5.25,5.5,4.75,1.25,4.5,3.5,1.0,1.0,1.0,3.75,1.25
"Light-A","B Dasher","Group-E","Acceleration","Light-A-B Dasher-Group-E-Acceleration",2.75,3.25,2.75,2.75,2.75,2.25,4.25,4.25,4.5,4.25,4.25,2.75
"Light-A","B Dasher","Group-E","Speed","Light-A-B Dasher-Group-E-Speed",2.75,3.25,3.0,2.75,2.5,2.5,4.25,4.25,4.25,4.25,4.25,2.5
"Light-B","B Dasher","Group-E","Acceleration","Light-B-B Dasher-Group-E-Acceleration",3.25,3.75,3.25,3.25,2.5,2.75,3.75,3.75,4.0,3.75,4.0,2.5
"Light-B","B Dasher","Group-E","Speed","Light-B-B Dasher-Group-E-Speed",3.25,3.75,3.5,3.25,2.25,3.0,3.75,3.75,3.75,3.75,4.0,2.25
"Medium-A","B Dasher","Group-E","Acceleration","Medium-A-B Dasher-Group-E-Acceleration",3.75,4.25,3.75,3.75,2.25,3.25,3.25,3.25,3.5,3.25,3.75,2.25
"Medium-A","B Dasher","Group-E","Speed","Medium-A-B Dasher-Group-E-Speed",3.75,4.25,4.0,3.75,2.0,3.5,3.25,3.25,3.25,3.25,3.75,2.0
"Medium-B","B Dasher","Group-E","Acceleration","Medium-B-B Dasher-Group-E-Acceleration",4.25,4.77,4.28,4.28,2.0,3.75,2.75,2.75,3.0,2.75,3.5,2.25
"Medium-B","B Dasher","Group-E","Speed","Medium-B-B Dasher-Group-E-Speed",4.25,4.77,4.53,4.28,1.75,4.0,2.75,2.75,2.75,2.75,3.5,2.0
"Heavy-A","B Dasher","Group-E","Acceleration","Heavy-A-B Dasher-Group-E-Acceleration",4.75,5.25,4.75,4.75,1.75,4.25,3.75,2.25,2.5,2.25,3.25,2.0
"Heavy-A","B Dasher","Group-E","Speed","Heavy-A-B Dasher-Group-E-Speed",4.75,5.25,5.0,4.75,1.5,4.5,3.75,2.25,2.25,2.25,3.25,1.75
"Heavy-B","B Dasher","Group-E","Acceleration","Heavy-B-B Dasher-Group-E-Acceleration",4.75,5.25,4.75,4.75,1.5,4.75,4.25,2.25,2.5,2.25,3.0,1.5
"Heavy-B","B Dasher","Group-E","Speed","Heavy-B-B Dasher-Group-E-Speed",4.75,5.25,5.0,4.75,1.25,5.0,4.25,2.25,2.25,2.25,3.0,1.25
"Heavy-C","B Dasher","Group-E","Acceleration","Heavy-C-B Dasher-Group-E-Acceleration",5.25,5.75,5.25,5.25,1.5,4.75,4.25,1.75,2.0,1.75,3.0,1.5
"Heavy-C","B Dasher","Group-E","Speed","Heavy-C-B Dasher-Group-E-Speed",5.25,5.75,5.5,5.25,1.25,5.0,4.25,1.75,1.75,1.75,3.0,1.25
"Light-A","Streetle","Group-F","Acceleration","Light-A-Streetle-Group-F-Acceleration",1.5499999999999998,1.25,2.0,1.5,4.25,1.25,4.0,3.75,4.5,4.0,4.75,4.75
"Light-A","Streetle","Group-F","Speed","Light-A-Streetle-Group-F-Speed",1.5499999999999998,1.25,2.25,1.5,4.0,1.5,4.0,3.75,4.25,4.0,4.75,4.5
"Light-B","Streetle","Group-F","Acceleration","Light-B-Streetle-Group-F-Acceleration",2.05,1.75,2.5,2.0,4.0,1.75,3.5,3.25,4.0,3.5,4.5,4.5
"Light-B","Streetle","Group-F","Speed","Light-B-Streetle-Group-F-Speed",2.05,1.75,2.75,2.0,3.75,2.0,3.5,3.25,3.75,3.5,4.5,4.25
"Medium-A","Streetle","Group-F","Acceleration","Medium-A-Streetle-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.75,2.25,3.0,2.75,3.5,3.0,4.25,4.25
"Medium-A","Streetle","Group-F","Speed","Medium-A-Streetle-Group-F-Speed",2.55,2.25,3.25,2.5,3.5,2.5,3.0,2.75,3.25,3.0,4.25,4.0
"Medium-B","Streetle","Group-F","Acceleration","Medium-B-Streetle-Group-F-Acceleration",3.05,2.77,3.53,3.03,3.5,2.75,2.5,2.25,3.0,2.5,4.0,4.25
"Medium-B","Streetle","Group-F","Speed","Medium-B-Streetle-Group-F-Speed",3.05,2.77,3.78,3.03,3.25,3.0,2.5,2.25,2.75,2.5,4.0,4.0
"Heavy-A","Streetle","Group-F","Acceleration","Heavy-A-Streetle-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.25,3.25,3.5,1.75,2.5,2.0,3.75,4.0
"Heavy-A","Streetle","Group-F","Speed","Heavy-A-Streetle-Group-F-Speed",3.55,3.25,4.25,3.5,3.0,3.5,3.5,1.75,2.25,2.0,3.75,3.75
"Heavy-B","Streetle","Group-F","Acceleration","Heavy-B-Streetle-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.0,3.75,4.0,1.75,2.5,2.0,3.5,3.5
"Heavy-B","Streetle","Group-F","Speed","Heavy-B-Streetle-Group-F-Speed",3.55,3.25,4.25,3.5,2.75,4.0,4.0,1.75,2.25,2.0,3.5,3.25
"Heavy-C","Streetle","Group-F","Acceleration","Heavy-C-Streetle-Group-F-Acceleration",4.05,3.75,4.5,4.0,3.0,3.75,4.0,1.25,2.0,1.5,3.5,3.5
"Heavy-C","Streetle","Group-F","Speed","Heavy-C-Streetle-Group-F-Speed",4.05,3.75,4.75,4.0,2.75,4.0,4.0,1.25,1.75,1.5,3.5,3.25
"Light-A","Streetle","Group-C","Acceleration","Light-A-Streetle-Group-C-Acceleration",2.0,2.0,2.0,2.0,4.25,1.0,4.25,4.25,4.5,4.25,3.75,4.0
"Light-A","Streetle","Group-C","Speed","Light-A-Streetle-Group-C-Speed",2.0,2.0,2.25,2.0,4.0,1.25,4.25,4.25,4.25,4.25,3.75,3.75
"Light-B","Streetle","Group-C","Acceleration","Light-B-Streetle-Group-C-Acceleration",2.5,2.5,2.5,2.5,4.0,1.5,3.75,3.75,4.0,3.75,3.5,3.75
"Light-B","Streetle","Group-C","Speed","Light-B-Streetle-Group-C-Speed",2.5,2.5,2.75,2.5,3.75,1.75,3.75,3.75,3.75,3.75,3.5,3.5
"Medium-A","Streetle","Group-C","Acceleration","Medium-A-Streetle-Group-C-Acceleration",3.0,3.0,3.0,3.0,3.75,2.0,3.25,3.25,3.5,3.25,3.25,3.5
"Medium-A","Streetle","Group-C","Speed","Medium-A-Streetle-Group-C-Speed",3.0,3.0,3.25,3.0,3.5,2.25,3.25,3.25,3.25,3.25,3.25,3.25
"Medium-B","Streetle","Group-C","Acceleration","Medium-B-Streetle-Group-C-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,2.5,2.75,2.75,3.0,2.75,3.0,3.5
"Medium-B","Streetle","Group-C","Speed","Medium-B-Streetle-Group-C-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,2.75,2.75,2.75,2.75,2.75,3.0,3.25
"Heavy-A","Streetle","Group-C","Acceleration","Heavy-A-Streetle-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.25,3.0,3.75,2.25,2.5,2.25,2.75,3.25
"Heavy-A","Streetle","Group-C","Speed","Heavy-A-Streetle-Group-C-Speed",4.0,4.0,4.25,4.0,3.0,3.25,3.75,2.25,2.25,2.25,2.75,3.0
"Heavy-B","Streetle","Group-C","Acceleration","Heavy-B-Streetle-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.0,3.5,4.25,2.25,2.5,2.25,2.5,2.75
"Heavy-B","Streetle","Group-C","Speed","Heavy-B-Streetle-Group-C-Speed",4.0,4.0,4.25,4.0,2.75,3.75,4.25,2.25,2.25,2.25,2.5,2.5
"Heavy-C","Streetle","Group-C","Acceleration","Heavy-C-Streetle-Group-C-Acceleration",4.5,4.5,4.5,4.5,3.0,3.5,4.25,1.75,2.0,1.75,2.5,2.75
"Heavy-C","Streetle","Group-C","Speed","Heavy-C-Streetle-Group-C-Speed",4.5,4.5,4.75,4.5,2.75,3.75,4.25,1.75,1.75,1.75,2.5,2.5
"Light-A","Streetle","Group-B","Acceleration","Light-A-Streetle-Group-B-Acceleration",2.0,2.0,2.0,2.0,4.25,1.5,4.5,4.5,4.75,4.5,3.75,4.0
"Light-A","Streetle","Group-B","Speed","Light-A-Streetle-Group-B-Speed",2.0,2.0,2.25,2.0,4.0,1.75,4.5,4.5,4.5,4.5,3.75,3.75
"Light-B","Streetle","Group-B","Acceleration","Light-B-Streetle-Group-B-Acceleration",2.5,2.5,2.5,2.5,4.0,2.0,4.0,4.0,4.25,4.0,3.5,3.75
"Light-B","Streetle","Group-B","Speed","Light-B-Streetle-Group-B-Speed",2.5,2.5,2.75,2.5,3.75,2.25,4.0,4.0,4.0,4.0,3.5,3.5
"Medium-A","Streetle","Group-B","Acceleration","Medium-A-Streetle-Group-B-Acceleration",3.0,3.0,3.0,3.0,3.75,2.5,3.5,3.5,3.75,3.5,3.25,3.5
"Medium-A","Streetle","Group-B","Speed","Medium-A-Streetle-Group-B-Speed",3.0,3.0,3.25,3.0,3.5,2.75,3.5,3.5,3.5,3.5,3.25,3.25
"Medium-B","Streetle","Group-B","Acceleration","Medium-B-Streetle-Group-B-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,3.0,3.0,3.0,3.25,3.0,3.0,3.5
"Medium-B","Streetle","Group-B","Speed","Medium-B-Streetle-Group-B-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.25,3.0,3.0,3.0,3.0,3.0,3.25
"Heavy-A","Streetle","Group-B","Acceleration","Heavy-A-Streetle-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.25,3.5,4.0,2.5,2.75,2.5,2.75,3.25
"Heavy-A","Streetle","Group-B","Speed","Heavy-A-Streetle-Group-B-Speed",4.0,4.0,4.25,4.0,3.0,3.75,4.0,2.5,2.5,2.5,2.75,3.0
"Heavy-B","Streetle","Group-B","Acceleration","Heavy-B-Streetle-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.0,4.0,4.5,2.5,2.75,2.5,2.5,2.75
"Heavy-B","Streetle","Group-B","Speed","Heavy-B-Streetle-Group-B-Speed",4.0,4.0,4.25,4.0,2.75,4.25,4.5,2.5,2.5,2.5,2.5,2.5
"Heavy-C","Streetle","Group-B","Acceleration","Heavy-C-Streetle-Group-B-Acceleration",4.5,4.5,4.5,4.5,3.0,4.0,4.5,2.0,2.25,2.0,2.5,2.75
"Heavy-C","Streetle","Group-B","Speed","Heavy-C-Streetle-Group-B-Speed",4.5,4.5,4.75,4.5,2.75,4.25,4.5,2.0,2.0,2.0,2.5,2.5
"Light-A","Streetle","Group-D","Acceleration","Light-A-Streetle-Group-D-Acceleration",1.25,2.25,2.25,1.25,5.0,1.0,4.5,4.5,4.75,4.5,4.0,5.5
"Light-A","Streetle","Group-D","Speed","Light-A-Streetle-Group-D-Speed",1.25,2.25,2.5,1.25,4.75,1.25,4.5,4.5,4.5,4.5,4.0,5.25
"Light-B","Streetle","Group-D","Acceleration","Light-B-Streetle-Group-D-Acceleration",1.75,2.75,2.75,1.75,4.75,1.5,4.0,4.0,4.25,4.0,3.75,5.25
"Light-B","Streetle","Group-D","Speed","Light-B-Streetle-Group-D-Speed",1.75,2.75,3.0,1.75,4.5,1.75,4.0,4.0,4.0,4.0,3.75,5.0
"Medium-A","Streetle","Group-D","Acceleration","Medium-A-Streetle-Group-D-Acceleration",2.25,3.25,3.25,2.25,4.5,2.0,3.5,3.5,3.75,3.5,3.5,5.0
"Medium-A","Streetle","Group-D","Speed","Medium-A-Streetle-Group-D-Speed",2.25,3.25,3.5,2.25,4.25,2.25,3.5,3.5,3.5,3.5,3.5,4.75
"Medium-B","Streetle","Group-D","Acceleration","Medium-B-Streetle-Group-D-Acceleration",2.75,3.7699999999999996,3.78,2.78,4.25,2.5,3.0,3.0,3.25,3.0,3.25,5.0
"Medium-B","Streetle","Group-D","Speed","Medium-B-Streetle-Group-D-Speed",2.75,3.7699999999999996,4.03,2.78,4.0,2.75,3.0,3.0,3.0,3.0,3.25,4.75
"Heavy-A","Streetle","Group-D","Acceleration","Heavy-A-Streetle-Group-D-Acceleration",3.25,4.25,4.25,3.25,4.0,3.0,4.0,2.5,2.75,2.5,3.0,4.75
"Heavy-A","Streetle","Group-D","Speed","Heavy-A-Streetle-Group-D-Speed",3.25,4.25,4.5,3.25,3.75,3.25,4.0,2.5,2.5,2.5,3.0,4.5
"Heavy-B","Streetle","Group-D","Acceleration","Heavy-B-Streetle-Group-D-Acceleration",3.25,4.25,4.25,3.25,3.75,3.5,4.5,2.5,2.75,2.5,2.75,4.25
"Heavy-B","Streetle","Group-D","Speed","Heavy-B-Streetle-Group-D-Speed",3.25,4.25,4.5,3.25,3.5,3.75,4.5,2.5,2.5,2.5,2.75,4.0
"Heavy-C","Streetle","Group-D","Acceleration","Heavy-C-Streetle-Group-D-Acceleration",3.75,4.75,4.75,3.75,3.75,3.5,4.5,2.0,2.25,2.0,2.75,4.25
"Heavy-C","Streetle","Group-D","Speed","Heavy-C-Streetle-Group-D-Speed",3.75,4.75,5.0,3.75,3.5,3.75,4.5,2.0,2.0,2.0,2.75,4.0
"Light-A","Streetle","Group-A","Acceleration","Light-A-Streetle-Group-A-Acceleration",2.25,1.25,2.25,2.25,3.75,1.75,4.25,4.25,4.5,4.25,3.25,4.25
"Light-A","Streetle","Group-A","Speed","Light-A-Streetle-Group-A-Speed",2.25,1.25,2.5,2.25,3.5,2.0,4.25,4.25,4.25,4.25,3.25,4.0
"Light-B","Streetle","Group-A","Acceleration","Light-B-Streetle-Group-A-Acceleration",2.75,1.75,2.75,2.75,3.5,2.25,3.75,3.75,4.0,3.75,3.0,4.0
"Light-B","Streetle","Group-A","Speed","Light-B-Streetle-Group-A-Speed",2.75,1.75,3.0,2.75,3.25,2.5,3.75,3.75,3.75,3.75,3.0,3.75
"Medium-A","Streetle","Group-A","Acceleration","Medium-A-Streetle-Group-A-Acceleration",3.25,2.25,3.25,3.25,3.25,2.75,3.25,3.25,3.5,3.25,2.75,3.75
"Medium-A","Streetle","Group-A","Speed","Medium-A-Streetle-Group-A-Speed",3.25,2.25,3.5,3.25,3.0,3.0,3.25,3.25,3.25,3.25,2.75,3.5
"Medium-B","Streetle","Group-A","Acceleration","Medium-B-Streetle-Group-A-Acceleration",3.75,2.77,3.78,3.78,3.0,3.25,2.75,2.75,3.0,2.75,2.5,3.75
"Medium-B","Streetle","Group-A","Speed","Medium-B-Streetle-Group-A-Speed",3.75,2.77,4.03,3.78,2.75,3.5,2.75,2.75,2.75,2.75,2.5,3.5
"Heavy-A","Streetle","Group-A","Acceleration","Heavy-A-Streetle-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.75,3.75,3.75,2.25,2.5,2.25,2.25,3.5
"Heavy-A","Streetle","Group-A","Speed","Heavy-A-Streetle-Group-A-Speed",4.25,3.25,4.5,4.25,2.5,4.0,3.75,2.25,2.25,2.25,2.25,3.25
"Heavy-B","Streetle","Group-A","Acceleration","Heavy-B-Streetle-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.5,4.25,4.25,2.25,2.5,2.25,2.0,3.0
"Heavy-B","Streetle","Group-A","Speed","Heavy-B-Streetle-Group-A-Speed",4.25,3.25,4.5,4.25,2.25,4.5,4.25,2.25,2.25,2.25,2.0,2.75
"Heavy-C","Streetle","Group-A","Acceleration","Heavy-C-Streetle-Group-A-Acceleration",4.75,3.75,4.75,4.75,2.5,4.25,4.25,1.75,2.0,1.75,2.0,3.0
"Heavy-C","Streetle","Group-A","Speed","Heavy-C-Streetle-Group-A-Speed",4.75,3.75,5.0,4.75,2.25,4.5,4.25,1.75,1.75,1.75,2.0,2.75
"Light-A","Streetle","Group-G","Acceleration","Light-A-Streetle-Group-G-Acceleration",1.75,1.75,1.75,1.25,4.0,1.0,3.5,3.5,3.75,3.5,5.0,4.0
"Light-A","Streetle","Group-G","Speed","Light-A-Streetle-Group-G-Speed",1.75,1.75,2.0,1.25,3.75,1.25,3.5,3.5,3.5,3.5,5.0,3.75
"Light-B","Streetle","Group-G","Acceleration","Light-B-Streetle-Group-G-Acceleration",2.25,2.25,2.25,1.75,3.75,1.5,3.0,3.0,3.25,3.0,4.75,3.75
"Light-B","Streetle","Group-G","Speed","Light-B-Streetle-Group-G-Speed",2.25,2.25,2.5,1.75,3.5,1.75,3.0,3.0,3.0,3.0,4.75,3.5
"Medium-A","Streetle","Group-G","Acceleration","Medium-A-Streetle-Group-G-Acceleration",2.75,2.75,2.75,2.25,3.5,2.0,2.5,2.5,2.75,2.5,4.5,3.5
"Medium-A","Streetle","Group-G","Speed","Medium-A-Streetle-Group-G-Speed",2.75,2.75,3.0,2.25,3.25,2.25,2.5,2.5,2.5,2.5,4.5,3.25
"Medium-B","Streetle","Group-G","Acceleration","Medium-B-Streetle-Group-G-Acceleration",3.25,3.27,3.28,2.78,3.25,2.5,2.0,2.0,2.25,2.0,4.25,3.5
"Medium-B","Streetle","Group-G","Speed","Medium-B-Streetle-Group-G-Speed",3.25,3.27,3.53,2.78,3.0,2.75,2.0,2.0,2.0,2.0,4.25,3.25
"Heavy-A","Streetle","Group-G","Acceleration","Heavy-A-Streetle-Group-G-Acceleration",3.75,3.75,3.75,3.25,3.0,3.0,3.0,1.5,1.75,1.5,4.0,3.25
"Heavy-A","Streetle","Group-G","Speed","Heavy-A-Streetle-Group-G-Speed",3.75,3.75,4.0,3.25,2.75,3.25,3.0,1.5,1.5,1.5,4.0,3.0
"Heavy-B","Streetle","Group-G","Acceleration","Heavy-B-Streetle-Group-G-Acceleration",3.75,3.75,3.75,3.25,2.75,3.5,3.5,1.5,1.75,1.5,3.75,2.75
"Heavy-B","Streetle","Group-G","Speed","Heavy-B-Streetle-Group-G-Speed",3.75,3.75,4.0,3.25,2.5,3.75,3.5,1.5,1.5,1.5,3.75,2.5
"Heavy-C","Streetle","Group-G","Acceleration","Heavy-C-Streetle-Group-G-Acceleration",4.25,4.25,4.25,3.75,2.75,3.5,3.5,1.0,1.25,1.0,3.75,2.75
"Heavy-C","Streetle","Group-G","Speed","Heavy-C-Streetle-Group-G-Speed",4.25,4.25,4.5,3.75,2.5,3.75,3.5,1.0,1.0,1.0,3.75,2.5
"Light-A","Streetle","Group-E","Acceleration","Light-A-Streetle-Group-E-Acceleration",1.75,2.25,1.75,1.75,4.0,1.5,4.25,4.25,4.5,4.25,4.25,4.0
"Light-A","Streetle","Group-E","Speed","Light-A-Streetle-Group-E-Speed",1.75,2.25,2.0,1.75,3.75,1.75,4.25,4.25,4.25,4.25,4.25,3.75
"Light-B","Streetle","Group-E","Acceleration","Light-B-Streetle-Group-E-Acceleration",2.25,2.75,2.25,2.25,3.75,2.0,3.75,3.75,4.0,3.75,4.0,3.75
"Light-B","Streetle","Group-E","Speed","Light-B-Streetle-Group-E-Speed",2.25,2.75,2.5,2.25,3.5,2.25,3.75,3.75,3.75,3.75,4.0,3.5
"Medium-A","Streetle","Group-E","Acceleration","Medium-A-Streetle-Group-E-Acceleration",2.75,3.25,2.75,2.75,3.5,2.5,3.25,3.25,3.5,3.25,3.75,3.5
"Medium-A","Streetle","Group-E","Speed","Medium-A-Streetle-Group-E-Speed",2.75,3.25,3.0,2.75,3.25,2.75,3.25,3.25,3.25,3.25,3.75,3.25
"Medium-B","Streetle","Group-E","Acceleration","Medium-B-Streetle-Group-E-Acceleration",3.25,3.7699999999999996,3.28,3.28,3.25,3.0,2.75,2.75,3.0,2.75,3.5,3.5
"Medium-B","Streetle","Group-E","Speed","Medium-B-Streetle-Group-E-Speed",3.25,3.7699999999999996,3.53,3.28,3.0,3.25,2.75,2.75,2.75,2.75,3.5,3.25
"Heavy-A","Streetle","Group-E","Acceleration","Heavy-A-Streetle-Group-E-Acceleration",3.75,4.25,3.75,3.75,3.0,3.5,3.75,2.25,2.5,2.25,3.25,3.25
"Heavy-A","Streetle","Group-E","Speed","Heavy-A-Streetle-Group-E-Speed",3.75,4.25,4.0,3.75,2.75,3.75,3.75,2.25,2.25,2.25,3.25,3.0
"Heavy-B","Streetle","Group-E","Acceleration","Heavy-B-Streetle-Group-E-Acceleration",3.75,4.25,3.75,3.75,2.75,4.0,4.25,2.25,2.5,2.25,3.0,2.75
"Heavy-B","Streetle","Group-E","Speed","Heavy-B-Streetle-Group-E-Speed",3.75,4.25,4.0,3.75,2.5,4.25,4.25,2.25,2.25,2.25,3.0,2.5
"Heavy-C","Streetle","Group-E","Acceleration","Heavy-C-Streetle-Group-E-Acceleration",4.25,4.75,4.25,4.25,2.75,4.0,4.25,1.75,2.0,1.75,3.0,2.75
"Heavy-C","Streetle","Group-E","Speed","Heavy-C-Streetle-Group-E-Speed",4.25,4.75,4.5,4.25,2.5,4.25,4.25,1.75,1.75,1.75,3.0,2.5
"Light-A","P-Wing","Group-F","Acceleration","Light-A-P-Wing-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.0,2.0,4.0,3.75,4.5,4.0,4.75,3.5
"Light-A","P-Wing","Group-F","Speed","Light-A-P-Wing-Group-F-Speed",2.55,2.25,3.25,2.5,2.75,2.25,4.0,3.75,4.25,4.0,4.75,3.25
"Light-B","P-Wing","Group-F","Acceleration","Light-B-P-Wing-Group-F-Acceleration",3.05,2.75,3.5,3.0,2.75,2.5,3.5,3.25,4.0,3.5,4.5,3.25
"Light-B","P-Wing","Group-F","Speed","Light-B-P-Wing-Group-F-Speed",3.05,2.75,3.75,3.0,2.5,2.75,3.5,3.25,3.75,3.5,4.5,3.0
"Medium-A","P-Wing","Group-F","Acceleration","Medium-A-P-Wing-Group-F-Acceleration",3.55,3.25,4.0,3.5,2.5,3.0,3.0,2.75,3.5,3.0,4.25,3.0
"Medium-A","P-Wing","Group-F","Speed","Medium-A-P-Wing-Group-F-Speed",3.55,3.25,4.25,3.5,2.25,3.25,3.0,2.75,3.25,3.0,4.25,2.75
"Medium-B","P-Wing","Group-F","Acceleration","Medium-B-P-Wing-Group-F-Acceleration",4.05,3.77,4.53,4.03,2.25,3.5,2.5,2.25,3.0,2.5,4.0,3.0
"Medium-B","P-Wing","Group-F","Speed","Medium-B-P-Wing-Group-F-Speed",4.05,3.77,4.78,4.03,2.0,3.75,2.5,2.25,2.75,2.5,4.0,2.75
"Heavy-A","P-Wing","Group-F","Acceleration","Heavy-A-P-Wing-Group-F-Acceleration",4.55,4.25,5.0,4.5,2.0,4.0,3.5,1.75,2.5,2.0,3.75,2.75
"Heavy-A","P-Wing","Group-F","Speed","Heavy-A-P-Wing-Group-F-Speed",4.55,4.25,5.25,4.5,1.75,4.25,3.5,1.75,2.25,2.0,3.75,2.5
"Heavy-B","P-Wing","Group-F","Acceleration","Heavy-B-P-Wing-Group-F-Acceleration",4.55,4.25,5.0,4.5,1.75,4.5,4.0,1.75,2.5,2.0,3.5,2.25
"Heavy-B","P-Wing","Group-F","Speed","Heavy-B-P-Wing-Group-F-Speed",4.55,4.25,5.25,4.5,1.5,4.75,4.0,1.75,2.25,2.0,3.5,2.0
"Heavy-C","P-Wing","Group-F","Acceleration","Heavy-C-P-Wing-Group-F-Acceleration",5.05,4.75,5.5,5.0,1.75,4.5,4.0,1.25,2.0,1.5,3.5,2.25
